epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,16.0,0.8446402549743652,,1.0840646028518677,1.0840646028518677
1,33.0,0.56258225440979,,1.0876235961914062,1.0876235961914062
2,49.666666666666664,0.4744331836700439,0.4389329552650451,0.8407446146011353,0.8407446146011353
3,67.0,0.3961967825889587,,0.7575746178627014,0.7575746178627014
4,84.0,0.3996807634830475,,0.5599209070205688,0.5599209070205688
5,100.33333333333333,0.347522884607315,0.2576841711997986,0.6666306257247925,0.6666306257247925
6,118.0,0.3048238456249237,,0.5094576478004456,0.5094576478004456
7,135.0,0.284585177898407,,0.5307528376579285,0.5307528376579285
8,151.0,0.2694573700428009,0.3151236176490783,0.4761988520622253,0.4761988520622253
9,169.0,0.2288407236337661,,0.695855975151062,0.695855975151062
10,186.0,0.2182507812976837,,0.479642391204834,0.479642391204834
11,201.66666666666666,0.2104076892137527,0.2449338734149933,0.6153818368911743,0.6153818368911743
12,220.0,0.2023265361785888,,0.4748438000679016,0.4748438000679016
13,237.0,0.1852035075426101,,0.4488668739795685,0.4488668739795685
14,252.33333333333334,0.1775535643100738,0.1172206923365593,0.4921267628669739,0.4921267628669739
15,271.0,0.1650321781635284,,0.4416401386260986,0.4416401386260986
16,288.0,0.1577270030975341,,0.495723694562912,0.495723694562912
17,303.0,0.1495627611875534,0.1634131819009781,0.3847748339176178,0.3847748339176178
18,322.0,0.1364192962646484,,0.5229853391647339,0.5229853391647339
19,339.0,0.1297026127576828,,0.4168023765087127,0.4168023765087127
20,353.6666666666667,0.1344584673643112,0.1049153581261634,0.4034940004348755,0.4034940004348755
21,373.0,0.1379923075437545,,0.4176895320415497,0.4176895320415497
22,390.0,0.1084810420870781,,0.3827905654907226,0.3827905654907226
23,404.3333333333333,0.1063339039683342,0.1417104601860046,0.3974874913692474,0.3974874913692474
24,424.0,0.1070689484477043,,0.4910551011562347,0.4910551011562347
25,441.0,0.1159062683582305,,0.4224786460399627,0.4224786460399627
26,455.0,0.1031613647937774,0.0812501981854438,0.4042782187461853,0.4042782187461853
27,475.0,0.1017481163144111,,0.3917041718959808,0.3917041718959808
28,492.0,0.0994445830583572,,0.4137858152389526,0.4137858152389526
29,505.6666666666667,0.0934021696448326,0.1200320422649383,0.3966886699199676,0.3966886699199676
30,526.0,0.0802223607897758,,0.3639147877693176,0.3639147877693176
31,543.0,0.0839270874857902,,0.3697223663330078,0.3697223663330078
32,556.3333333333334,0.0756595134735107,0.0603523254394531,0.4053117632865906,0.4053117632865906
33,577.0,0.0801356732845306,,0.3881311118602752,0.3881311118602752
34,594.0,0.0740150734782219,,0.3787127435207367,0.3787127435207367
35,607.0,0.0773337185382843,0.1013349220156669,0.4197036921977997,0.4197036921977997
36,628.0,0.0708388909697532,,0.3806116580963135,0.3806116580963135
37,645.0,0.0713071748614311,,0.378374308347702,0.378374308347702
38,657.6666666666666,0.0624782145023345,0.0555870160460472,0.371255874633789,0.371255874633789
39,679.0,0.0655145719647407,,0.3752155303955078,0.3752155303955078
40,696.0,0.0605380721390247,,0.375191330909729,0.375191330909729
41,708.3333333333334,0.0654460489749908,0.0570454858243465,0.3730549812316894,0.3730549812316894
42,730.0,0.0604161024093627,,0.391128271818161,0.391128271818161
43,747.0,0.0582007057964801,,0.3809167444705963,0.3809167444705963
44,759.0,0.0558547154068946,0.0453215837478637,0.3718413710594177,0.3718413710594177
45,781.0,0.0558786578476429,,0.373416543006897,0.373416543006897
46,798.0,0.0548273772001266,,0.373487651348114,0.373487651348114
47,809.6666666666666,0.0503010675311088,0.0383130423724651,0.3630948364734649,0.3630948364734649
48,832.0,0.0509626492857933,,0.3919538557529449,0.3919538557529449
49,849.0,0.0490772239863872,0.0728530511260032,0.3612237870693207,0.3612237870693207
