epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,16.0,0.841609001159668,,1.065892457962036,1.065892457962036
1,33.0,0.6109704971313477,,1.039065957069397,1.039065957069397
2,49.666666666666664,0.5040674805641174,0.3464335501194,1.0133336782455444,1.0133336782455444
3,67.0,0.4487839639186859,,0.8614569902420044,0.8614569902420044
4,84.0,0.3923971652984619,,1.2802531719207764,1.2802531719207764
5,100.33333333333333,0.3554511070251465,0.2200196981430053,1.263725519180298,1.263725519180298
6,118.0,0.357541561126709,,1.5512341260910034,1.5512341260910034
7,135.0,0.3065121173858642,,0.676670253276825,0.676670253276825
8,151.0,0.2736904621124267,0.2113913893699646,0.5425778031349182,0.5425778031349182
9,169.0,0.2401283085346222,,0.6972558498382568,0.6972558498382568
10,186.0,0.2307185679674148,,0.6291806101799011,0.6291806101799011
11,201.66666666666666,0.2174970954656601,0.2668699622154236,0.5926100015640259,0.5926100015640259
12,220.0,0.2034469544887542,,0.5029910206794739,0.5029910206794739
13,237.0,0.1952157914638519,,0.4358710050582886,0.4358710050582886
14,252.33333333333334,0.176674336194992,0.2105177640914917,0.484921783208847,0.484921783208847
15,271.0,0.1929066330194473,,0.5118401050567627,0.5118401050567627
16,288.0,0.1795226335525512,,0.4697385430335998,0.4697385430335998
17,303.0,0.1518721282482147,0.0951633378863334,0.4753417074680328,0.4753417074680328
18,322.0,0.1459629982709884,,0.4340828955173492,0.4340828955173492
19,339.0,0.1511697322130203,,0.3951560854911804,0.3951560854911804
20,353.6666666666667,0.1357443779706955,0.139599323272705,0.5775591135025024,0.5775591135025024
21,373.0,0.1342145204544067,,0.4312270283699035,0.4312270283699035
22,390.0,0.138493075966835,,0.4136254489421844,0.4136254489421844
23,404.3333333333333,0.1084713786840438,0.130590870976448,0.3825993239879608,0.3825993239879608
24,424.0,0.1112610921263694,,0.3811430037021637,0.3811430037021637
25,441.0,0.1065200716257095,,0.444577157497406,0.444577157497406
26,455.0,0.1042126268148422,0.1198949813842773,0.4296685457229614,0.4296685457229614
27,475.0,0.1020906865596771,,0.3729550242424011,0.3729550242424011
28,492.0,0.0944892615079879,,0.3833113312721252,0.3833113312721252
29,505.6666666666667,0.090120606124401,0.076349176466465,0.3976249396800995,0.3976249396800995
30,526.0,0.0861812457442283,,0.364660769701004,0.364660769701004
31,543.0,0.0875000357627868,,0.3869186341762543,0.3869186341762543
32,556.3333333333334,0.0793336629867553,0.0675306841731071,0.3964205682277679,0.3964205682277679
33,577.0,0.0750914067029953,,0.4318961203098297,0.4318961203098297
34,594.0,0.0738398432731628,,0.3836244642734527,0.3836244642734527
35,607.0,0.0776935368776321,0.0756160914897918,0.3592293560504913,0.3592293560504913
36,628.0,0.0692911818623542,,0.3657923936843872,0.3657923936843872
37,645.0,0.0704633817076683,,0.3851147592067718,0.3851147592067718
38,657.6666666666666,0.064748540520668,0.0336621329188346,0.373510867357254,0.373510867357254
39,679.0,0.0647890418767929,,0.3757981657981872,0.3757981657981872
40,696.0,0.0637194365262985,,0.3897841572761535,0.3897841572761535
41,708.3333333333334,0.0726471319794654,0.0826701447367668,0.3824591934680938,0.3824591934680938
42,730.0,0.0653742551803588,,0.3819925785064697,0.3819925785064697
43,747.0,0.0602173395454883,,0.3670918941497803,0.3670918941497803
44,759.0,0.0597543939948082,0.0400427281856536,0.40274178981781,0.40274178981781
45,781.0,0.0577837340533733,,0.381769448518753,0.381769448518753
46,798.0,0.0547204166650772,,0.3639700710773468,0.3639700710773468
47,809.6666666666666,0.0518111586570739,0.0460496321320533,0.3817370235919952,0.3817370235919952
48,832.0,0.0549645721912384,,0.3824634850025177,0.3824634850025177
49,849.0,0.0601426362991333,0.104640781879425,0.3673692345619201,0.3673692345619201
