model,seed,epoch,train_loss,val_metric,val_mse
molformer,42,1,35.7314,3.4537,
molformer,42,2,7.8993,1.7235,
molformer,42,3,2.1302,2.3621,
molformer,42,4,1.7931,1.3078,
molformer,42,5,1.5608,1.2483,
molformer,42,6,1.5932,1.2901,
molformer,42,7,1.5184,1.2379,
molformer,42,8,1.4563,1.2056,
molformer,42,9,1.2566,1.2298,
molformer,42,10,1.1944,1.0508,
molformer,42,11,1.2115,1.0167,
molformer,42,12,1.0043,1.1117,
molformer,42,13,0.9089,0.9754,
molformer,42,14,0.8744,1.0417,
molformer,42,15,0.8267,1.0251,
molformer,42,16,0.7212,0.9223,
molformer,42,17,0.746,1.0076,
molformer,42,18,0.7993,0.9891,
molformer,42,19,0.656,1.0194,
molformer,42,20,0.6602,1.0342,
molformer,42,21,0.6221,0.8741,
molformer,42,22,0.563,0.8944,
molformer,42,23,0.5318,0.9414,
molformer,42,24,0.543,0.9676,
molformer,42,25,0.5499,0.9595,
molformer,42,26,0.5201,0.943,
molformer,42,27,0.4904,0.9097,
molformer,42,28,0.4843,0.8641,
molformer,42,29,0.4968,0.9551,
molformer,42,30,0.4737,0.9077,
