seed,n_trees,val_rmse,val_pearson
42,10,0.8526575253469567,0.7909433043373171
42,25,0.8484972066643488,0.7949504882218508
42,50,0.8246967350241489,0.808741786814162
42,100,0.8249234477576891,0.8087302579262208
42,150,0.8321878511010697,0.8045756992248441
42,200,0.8344676959723304,0.8027783878713733
42,300,0.834856425831833,0.8029893713739436
42,400,0.8341620371770032,0.803139548419792
42,500,0.8325022123557951,0.8042172141352361
1337,10,0.838360144011993,0.7986648337904821
1337,25,0.8492287259198179,0.7934746600497584
1337,50,0.8430954443085906,0.7971774325238725
1337,100,0.8518516818966556,0.7922338945098942
1337,150,0.8391922512189562,0.7996306158952273
1337,200,0.8348516225907999,0.8023033516718026
1337,300,0.8357923720362231,0.8018222264690889
1337,400,0.834558449097038,0.8024047609546145
1337,500,0.8369788086099745,0.801053823790568
2024,10,0.8444544857101638,0.7972958464119917
2024,25,0.8276581667120796,0.805898955202851
2024,50,0.8240620062914981,0.808097304769477
2024,100,0.8299725110954964,0.8048613976713935
2024,150,0.8306289116249401,0.8046528203522789
2024,200,0.8291496243776904,0.8056983043227685
2024,300,0.8278893724043132,0.8068160173814372
2024,400,0.8281805747651287,0.8066259487388714
2024,500,0.8288554023326828,0.8061936981197295
