model,seed,epoch,train_loss,val_metric,val_mse
molformer,1337,1,36.9845,3.5073,
molformer,1337,2,4.751,1.2359,
molformer,1337,3,1.5194,1.2183,
molformer,1337,4,1.3062,2.8476,
molformer,1337,5,1.5867,1.0401,
molformer,1337,6,1.0973,1.3424,
molformer,1337,7,1.1039,0.8925,
molformer,1337,8,0.7466,1.0568,
molformer,1337,9,0.6758,1.1482,
molformer,1337,10,0.6665,0.8617,
molformer,1337,11,0.5709,0.8432,
molformer,1337,12,0.5461,0.8721,
molformer,1337,13,0.5307,0.8857,
molformer,1337,14,0.4769,0.824,
molformer,1337,15,0.4452,0.8705,
molformer,1337,16,0.4311,0.8131,
molformer,1337,17,0.4247,0.8537,
molformer,1337,18,0.3821,0.9127,
molformer,1337,19,0.3727,0.7613,
molformer,1337,20,0.3294,0.9591,
molformer,1337,21,0.3237,0.8409,
molformer,1337,22,0.3217,0.8988,
molformer,1337,23,0.3192,0.8163,
molformer,1337,24,0.2741,0.8033,
molformer,1337,25,0.2858,0.8213,
molformer,1337,26,0.265,0.8561,
molformer,1337,27,0.2603,0.7957,
molformer,1337,28,0.2477,0.8054,
molformer,1337,29,0.2457,0.7826,
molformer,1337,30,0.2512,0.7756,
