model,seed,epoch,train_loss,val_metric,val_mse
chemfm,42,1,28.2217,1.2446,
chemfm,42,2,1.2261,1.0229,
chemfm,42,3,0.7378,0.9387,
chemfm,42,4,0.5237,0.8852,
chemfm,42,5,0.4145,0.8457,
chemfm,42,6,0.3239,0.8457,
chemfm,42,7,0.2712,0.8517,
chemfm,42,8,0.2372,0.8357,
chemfm,42,9,0.2302,0.8366,
chemfm,42,10,0.2173,0.837,
