representation,dim,n_feat,MAE,RMSE,PearsonR,SpearmanRho,MAE_std,RMSE_std,PearsonR_std,SpearmanRho_std
Morgan,2048-bit,2048,0.5592091841238768,0.7522160937452186,0.8369266466427489,0.8154161411459387,0.0008738881418942651,0.001082737909006407,0.0006180501322368151,0.0007378620826888119
TopoTorsion,2048-bit,2048,0.5593165538306444,0.7572108804699523,0.8325492956201751,0.8088860273679893,0.0005492514061769053,0.0006073995919304498,0.00031856298906900215,0.0006562490939288131
AtomPair,2048-bit,2048,0.5657815335774268,0.7325376336164172,0.8471273600322332,0.8171611949951473,0.0024026504012724915,0.0022906119507561645,0.0010275952826593266,0.0017528811303764175
Avalon,2048-bit,2048,0.5738447516168934,0.7756285204233387,0.8239154179190301,0.7874806632428754,0.00141100998993301,0.0034550645282119953,0.0019122776888880657,0.0016133918934614507
Descriptors,217 physchem,217,0.5934886392516238,0.7545205481340855,0.8401894798621813,0.7989648429753431,0.0005929055953289904,0.002593730914592461,0.0014770436164298732,0.0021116401522649282
MACCS,167-bit,167,0.6087226596789944,0.810784807751265,0.8073442794298628,0.7861609109292705,0.004432831313162476,0.003689695168714715,0.002117584248768855,0.0018790091456534306
