bit,rf_importance,n_train_with_bit,mean_pIC50_with,mean_pIC50_without,delta_pIC50
964,0.07306958142510332,62,4.905957762903226,6.6313172341733875,-1.7253594712701616
1928,0.05810984223722816,539,6.936549187569573,6.1041476999999995,0.8324014875695731
255,0.04282006484380446,411,6.989068472019465,6.236281392846035,0.7527870791734301
875,0.03685435678037617,949,6.641616432139093,5.519448414285714,1.1221680178533795
1563,0.03041367484514827,216,7.206229787037038,6.3554778563245815,0.8507519307124563
1855,0.02552373626676945,136,5.479559242647059,6.685420501742919,-1.20586125909586
