model,EF@1%,EF@5%,EF@10%
TabPFN,6.516129032258064,7.819354838709677,5.212903225806452
Chemprop,9.774193548387096,7.819354838709677,5.212903225806452
ChemFM,0.0,7.16774193548387,6.841935483870967
SVR,6.516129032258064,6.516129032258064,4.561290322580645
GBM,9.774193548387096,6.516129032258064,5.538709677419354
RF,6.516129032258064,6.516129032258064,5.864516129032258
Ridge,6.516129032258064,4.561290322580645,4.235483870967742
MolFormer,3.258064516129032,3.9096774193548387,4.235483870967742
