dataset,n_train,n_test,canonical_dups,canonical_dups_pct,inchi_tautomer_dups,inchi_tautomer_dups_pct,scaffold_overlap,scaffold_overlap_pct,high_tanimoto_count,high_tanimoto_pct,mean_nearest_tanimoto,max_nearest_tanimoto
esol,789,227,3,1.3215859030837005,3,1.3215859030837005,120,52.863436123348016,16,7.048458149779735,0.5568902903966754,1.0
freesolv,449,129,0,0.0,2,1.550387596899225,62,48.06201550387597,17,13.178294573643411,0.577515836305498,1.0
lipophilicity,2940,840,0,0.0,34,4.0476190476190474,435,51.785714285714285,94,11.19047619047619,0.6368251825565832,1.0
bace,1059,303,0,0.0,13,4.29042904290429,193,63.696369636963695,89,29.372937293729372,0.7747956350448879,1.0
