,low (Tan<0.4),med (0.4-0.6),high (Tan>=0.6)
Ridge,0.3,0.8,0.9640287769784173
SVR,0.5,0.8,0.9748201438848921
GBM,0.5,0.7333333333333333,0.9388489208633094
RF,0.2,0.8666666666666667,0.9496402877697842
TabPFN,0.9,0.8666666666666667,0.9532374100719424
MolFormer,0.9,0.7333333333333333,0.9100719424460432
ChemFM,0.5,0.8666666666666667,0.9460431654676259
Chemprop,0.5,0.7333333333333333,0.9316546762589928
