model,ROC-AUC,PR-AUC,F1,MCC
Chemprop,0.9153029632905794,0.8878728826379342,0.796875,0.6501811126915596
TabPFN,0.9003980539584254,0.8583228897536529,0.7924528301886793,0.6311807818634388
GBM,0.9001326846528084,0.8647385836168213,0.7611336032388664,0.6034907473150585
ChemFM,0.8994692613887659,0.8545566047115456,0.7529411764705882,0.5756241699676679
RF,0.8932330827067669,0.8538358445290984,0.7509881422924901,0.5755604251537526
Ridge,0.8848739495798319,0.8398299818639194,0.725,0.5570454037619157
SVR,0.8785935426802299,0.840152065348609,0.7410358565737052,0.5619677558346293
MolFormer,0.8653693056169836,0.79795245166006,0.7575757575757576,0.5705116841367761
