dataset,task,main_metric,permuted_mean,permuted_std,permuted_min,permuted_max,n_repeats
esol,regression,PearsonR,0.083723512065779,0.12082041412018796,-0.13936583691088866,0.23396687568586272,10
freesolv,regression,PearsonR,-0.04736429837014834,0.1635315319661024,-0.33242963955622074,0.24562108900009505,10
lipophilicity,regression,PearsonR,-0.019355948206618866,0.04637033784301811,-0.06863321304256756,0.07168425872358507,10
bace,regression,PearsonR,-0.06107392584351594,0.03901471255390035,-0.12023705013933979,0.019184636942822384,10
bbbp,classification,ROC-AUC,0.5576917613636364,0.0637085110781686,0.45838068181818187,0.669815340909091,10
gsht,regression,PearsonR,-0.004149299351659652,0.1516722902718289,-0.3295727139064974,0.1975131828921392,10
