dataset,model,width,width_lo,width_hi,coverage,cov_lo,cov_hi
esol,rf,4.660905333333332,4.660905333333332,4.660905333333332,0.9030837004405287,0.8634361233480177,0.9427312775330396
esol,molformer,4.786353199999999,4.786353199999999,4.786353199999999,0.8986784140969163,0.8546255506607929,0.933920704845815
esol,chemfm,3.8104220000000018,3.8104220000000013,3.8104220000000018,0.9251101321585903,0.8898678414096917,0.9559471365638766
esol,unimol,1.6116220000000008,1.6116220000000008,1.6116220000000008,0.8325991189427313,0.7841409691629956,0.8767621145374443
freesolv,rf,5.609559999999989,5.6095599999999886,5.609559999999989,0.8914728682170543,0.8372093023255814,0.937984496124031
freesolv,molformer,4.825005999999998,4.825005999999998,4.825005999999998,0.9612403100775194,0.9224806201550387,0.9922480620155039
freesolv,chemfm,10.3415454,10.3415454,10.341545400000001,0.9689922480620154,0.937984496124031,0.9922480620155039
freesolv,unimol,3.3675539999999984,3.3675539999999984,3.367553999999999,0.9534883720930233,0.9147286821705426,0.9844961240310077
lipophilicity,rf,2.8398809523809523,2.8398809523809523,2.8398809523809523,0.9119047619047619,0.8928571428571429,0.9297619047619048
lipophilicity,molformer,1.8760800000000006,1.8760800000000006,1.8760800000000006,0.905952380952381,0.8857142857142857,0.9261904761904762
lipophilicity,chemfm,2.4104470000000005,2.4104469999999996,2.4104470000000005,0.8916666666666667,0.8702380952380953,0.9130952380952381
lipophilicity,unimol,1.7170118000000005,1.7170118000000005,1.7170118000000005,0.8678571428571429,0.844047619047619,0.8904761904761904
bace,rf,2.8474968957333293,2.847496895733329,2.8474968957333293,0.9306930693069307,0.900990099009901,0.9570957095709571
bace,molformer,2.9615979999999986,2.9615979999999986,2.961597999999999,0.9174917491749175,0.8877062706270626,0.9471947194719472
bace,chemfm,2.7020811999999985,2.7020811999999985,2.7020811999999994,0.8877887788778878,0.8481848184818482,0.9240924092409241
bace,unimol,2.878177599999999,2.878177599999999,2.878177599999999,0.933993399339934,0.9042904290429042,0.9603960396039604
gsht,rf,3.524217168024004,3.524217168024004,3.524217168024004,1.0,1.0,1.0
gsht,molformer,6.786555199999999,6.786555199999999,6.786555199999999,1.0,1.0,1.0
gsht,chemfm,4.596347600000001,4.596347600000001,4.596347600000001,0.9880952380952381,0.9642857142857143,1.0
gsht,unimol,3.2854664899999992,3.2854664899999992,3.2854664899999992,0.9880952380952381,0.9642857142857143,1.0
