rmse_all,rmse_cliff,rmse_noncliff,cliff_ratio,n_cliff,n_noncliff,dataset,model
0.7707546235800842,0.6785924271397195,0.8302231073344868,0.817361527455442,67,94,CHEMBL1862_Ki,rf
0.6602420793108682,0.9033858592063896,0.5627125698702395,1.60541261663074,32,102,CHEMBL1871_Ki,rf
0.7406450105747261,0.8763559199755497,0.6591235126742323,1.3295776938982955,52,100,CHEMBL2034_Ki,rf
0.6180822590323838,0.6717465013493593,0.5810812070808544,1.1560286121177024,50,78,CHEMBL2047_EC50,rf
0.751714749904863,0.8879279953405812,0.6461597427729294,1.3741617382880087,220,333,CHEMBL204_Ki,rf
0.6670781223813352,0.6587371911844827,0.6724581077216654,0.9795958790895242,116,178,CHEMBL2147_Ki,rf
0.7015054561469707,0.8116655913381964,0.6285732890427367,1.291282346047974,245,421,CHEMBL214_Ki,rf
0.6761609926489668,0.7121868182609401,0.6545199618914266,1.0881055731331224,76,132,CHEMBL218_EC50,rf
0.7085412618693616,0.7549852873678332,0.6764007986757389,1.116180360587905,148,226,CHEMBL219_Ki,rf
0.6910336266023464,0.767527226413149,0.6415785195517698,1.196310666618595,127,215,CHEMBL228_Ki,rf
0.7734609798494362,0.8879557952693969,0.7327767730950917,1.2117684783032387,48,149,CHEMBL231_Ki,rf
0.79840093225825,0.8772113644477544,0.7384132988268819,1.1879679927777318,259,371,CHEMBL233_Ki,rf
0.6681209235728992,0.6954662924401199,0.6461379871736622,1.0763432985610857,320,413,CHEMBL234_Ki,rf
0.6350455362920746,0.7556471107229316,0.5493070535690895,1.375637006321255,178,294,CHEMBL235_EC50,rf
0.7118156256286718,0.7930135930808971,0.6542543607406878,1.2120875926346424,204,317,CHEMBL236_Ki,rf
0.7107124164373947,0.7356454789284792,0.6877056496183112,1.0697098087485184,91,102,CHEMBL237_EC50,rf
0.7250003291584097,0.7958967685182681,0.6672380489883664,1.192822815972452,223,299,CHEMBL237_Ki,rf
0.6168485672568726,0.6727650823007145,0.5961546180453324,1.1285077091352105,55,158,CHEMBL238_Ki,rf
0.6884762929844682,0.8295870400382829,0.5721684041834445,1.449900123762001,141,206,CHEMBL239_EC50,rf
0.733572242901732,0.8326353635931497,0.6299359338932922,1.3217778488156444,296,325,CHEMBL244_Ki,rf
0.6828409933503375,0.7123374169498085,0.6759675921864174,1.05380409532024,32,141,CHEMBL262_Ki,rf
0.6580214494321146,0.7463315296837146,0.5869525878945719,1.27153631328357,239,335,CHEMBL264_Ki,rf
0.3965109749677205,0.8138533325184873,0.3148141171303091,2.585186903107061,13,113,CHEMBL2835_Ki,rf
0.7591258346561994,0.8576941365658687,0.6900591697999278,1.2429283952773849,103,164,CHEMBL287_Ki,rf
0.6426309263851173,0.6285742901340152,0.6455244041581307,0.9737421019020632,34,163,CHEMBL2971_Ki,rf
0.6464601777018548,0.6910360175678539,0.6127430808551101,1.127774493354511,94,132,CHEMBL3979_EC50,rf
0.6484669762853255,0.7392816561116565,0.5739026111934307,1.2881656951766085,81,112,CHEMBL4005_Ki,rf
0.8403093580888553,1.034312067065508,0.8193632476586115,1.2623364179698418,13,136,CHEMBL4203_Ki,rf
0.7013813617545509,0.7854349709473604,0.5947343104259903,1.3206484932486522,73,66,CHEMBL4616_EC50,rf
0.712220328951973,0.7175116311002848,0.7059905045708145,1.0163190955896415,160,137,CHEMBL4792_Ki,rf
0.7089007228238537,0.7386154678175739,0.6725374124871043,1.0982518654034532,160,137,CHEMBL4792_Ki,unimol
0.8772861460867415,0.9497747657538204,0.807138603235902,1.176718300854494,91,102,CHEMBL237_EC50,unimol
1.19134372454074,1.1929985036134407,1.1898346001446385,1.0026591120046584,296,325,CHEMBL244_Ki,molformer
0.6338000774890278,0.8707609821375543,0.5721328122330716,1.521956027550522,34,163,CHEMBL2971_Ki,unimol
1.2073379859945572,1.2060624921455614,1.20822762697276,0.9982080075154188,259,371,CHEMBL233_Ki,molformer
0.6912996840645598,0.6971424976800695,0.6875281747555739,1.0139838966278198,50,78,CHEMBL2047_EC50,unimol
1.0976504470656747,1.1760625448351398,1.079061766360509,1.0898936293533945,32,141,CHEMBL262_Ki,molformer
0.6969345945246803,0.8942703914887175,0.5436984033499385,1.6447912776251832,178,294,CHEMBL235_EC50,unimol
0.7538933709511504,0.8234231210223001,0.6975391652413852,1.1804686561755318,223,299,CHEMBL237_Ki,unimol
0.7451538103592632,0.758466176153998,0.7355181512086435,1.03119980779216,67,94,CHEMBL1862_Ki,unimol
0.571237180893242,0.905828278691552,0.5190910896328028,1.7450276007093883,13,113,CHEMBL2835_Ki,molformer
