conf,acc,n,kind
0.6652841567993164,1.0,1,before
0.7291430830955505,0.5,2,before
0.8507781028747559,1.0,1,before
0.9967381358146667,0.8709677419354839,93,before
0.5548858642578125,0.75,4,after
0.6549848318099976,0.3333333333333333,6,after
0.7527114748954773,0.8571428571428571,7,after
0.863698422908783,0.8666666666666667,15,after
0.9740263223648071,0.9230769230769231,65,after
