dataset,model,split_coverage,split_width,norm_coverage,norm_width,n_test
esol,rf,0.9030837004405287,4.660905333333332,0.947136563876652,5.095806669871635,227
freesolv,rf,0.8914728682170543,5.609559999999989,0.8914728682170543,4.691287704109845,129
lipophilicity,rf,0.9119047619047619,2.8398809523809514,0.9047619047619048,2.6851568554205416,840
bace,rf,0.9306930693069307,2.8474968957333306,0.9306930693069307,2.8033516063084156,303
gsht,rf,1.0,3.524217168024003,0.9642857142857143,2.42648515512194,84
